run_id,model,split,algo,seed,Data_W,Data_W_gen,train_hist,gen_hist
ddpm64_iid__fedavg__seed2,ddpm64,iid,fedavg,2,,,,
ddpm64_iid__fedcafe__seed2,ddpm64,iid,fedcafe,2,,,,
dcgan64_noniid_heavy__fedprox__seed0,dcgan64,noniid,fedprox,0,0.6174999999999999,,"[0.043750000000000004, 0.30125, 0.14875000000000002, 0.50625]",
ddpm64_iid__fedcafe__seed0,ddpm64,iid,fedcafe,0,,,,
dcgan64_noniid_heavy__fedavg__seed0,dcgan64,noniid,fedavg,0,0.6174999999999999,,"[0.043750000000000004, 0.30125, 0.14875000000000002, 0.50625]",
ddpm64_noniid_heavy__fedprox__seed2,ddpm64,noniid,fedprox,2,,,,
ddpm64_noniid_heavy__fedcafe__seed1,ddpm64,noniid,fedcafe,1,,,,
dcgan64_noniid_heavy__fedprox__seed1,dcgan64,noniid,fedprox,1,0.31625000000000003,,"[0.26, 0.1825, 0.55625, 0.00125]",
ddpm64_noniid_heavy__fedavg__seed1,ddpm64,noniid,fedavg,1,,,,
ddpm64_noniid_light__fedcafe__seed0,ddpm64,noniid,fedcafe,0,,,,
ddpm64_iid__fedavg__seed1,ddpm64,iid,fedavg,1,,,,
ddpm64_iid__fedprox__seed0,ddpm64,iid,fedprox,0,,,,
dcgan64_noniid_heavy__fedcafe__seed2,dcgan64,noniid,fedcafe,2,0.3549999999999999,,"[0.34625, 0.09, 0.11875, 0.44499999999999995]",
dcgan64_iid__fedavg__seed0,dcgan64,iid,fedavg,0,0.04500000000000015,,"[0.24375000000000002, 0.27875000000000005, 0.21125000000000002, 0.26625000000000004]",
ddpm64_noniid_heavy__fedprox__seed0,ddpm64,noniid,fedprox,0,,,,
dcgan64_noniid_heavy__fedcafe__seed0,dcgan64,noniid,fedcafe,0,0.6174999999999999,0.74609375,"[0.043750000000000004, 0.30125, 0.14875000000000002, 0.50625]","[0.74609375, 0.0, 0.0, 0.25390625]"
dcgan64_noniid_heavy__fedavg__seed1,dcgan64,noniid,fedavg,1,0.31625000000000003,,"[0.26, 0.1825, 0.55625, 0.00125]",
ddpm64_noniid_heavy__fedcafe__seed0,ddpm64,noniid,fedcafe,0,,,,
dcgan64_noniid_light__fedcafe__seed0,dcgan64,noniid,fedcafe,0,0.3875,,"[0.09875, 0.33, 0.15625, 0.41500000000000004]",
ddpm64_noniid_heavy__fedcafe__seed2,ddpm64,noniid,fedcafe,2,,,,
ddpm64_iid__fedprox__seed2,ddpm64,iid,fedprox,2,,,,
ddpm64_noniid_light__fedavg__seed0,ddpm64,noniid,fedavg,0,,,,
