run_id,model,task,split,alpha,algo,seed
ddpm64_iid__fedavg__seed2,ddpm64,diffusion,iid,,fedavg,2
ddpm64_iid__fedcafe__seed2,ddpm64,diffusion,iid,,fedcafe,2
dcgan64_noniid_heavy__fedprox__seed0,dcgan64,gan,noniid,0.2,fedprox,0
ddpm64_iid__fedcafe__seed0,ddpm64,diffusion,iid,,fedcafe,0
dcgan64_noniid_heavy__fedavg__seed0,dcgan64,gan,noniid,0.2,fedavg,0
ddpm64_noniid_heavy__fedprox__seed2,ddpm64,diffusion,noniid,0.2,fedprox,2
ddpm64_noniid_heavy__fedcafe__seed1,ddpm64,diffusion,noniid,0.2,fedcafe,1
dcgan64_noniid_heavy__fedprox__seed1,dcgan64,gan,noniid,0.2,fedprox,1
ddpm64_noniid_heavy__fedavg__seed1,ddpm64,diffusion,noniid,0.2,fedavg,1
ddpm64_noniid_light__fedcafe__seed0,ddpm64,diffusion,noniid,0.5,fedcafe,0
ddpm64_iid__fedavg__seed1,ddpm64,diffusion,iid,,fedavg,1
ddpm64_iid__fedprox__seed0,ddpm64,diffusion,iid,,fedprox,0
dcgan64_noniid_heavy__fedcafe__seed2,dcgan64,gan,noniid,0.2,fedcafe,2
dcgan64_iid__fedavg__seed0,dcgan64,gan,iid,,fedavg,0
ddpm64_noniid_heavy__fedprox__seed0,ddpm64,diffusion,noniid,0.2,fedprox,0
dcgan64_noniid_heavy__fedcafe__seed0,dcgan64,gan,noniid,0.2,fedcafe,0
dcgan64_noniid_heavy__fedavg__seed1,dcgan64,gan,noniid,0.2,fedavg,1
ddpm64_noniid_heavy__fedcafe__seed0,ddpm64,diffusion,noniid,0.2,fedcafe,0
dcgan64_noniid_light__fedcafe__seed0,dcgan64,gan,noniid,0.5,fedcafe,0
ddpm64_noniid_heavy__fedcafe__seed2,ddpm64,diffusion,noniid,0.2,fedcafe,2
ddpm64_iid__fedprox__seed2,ddpm64,diffusion,iid,,fedprox,2
ddpm64_noniid_light__fedavg__seed0,ddpm64,diffusion,noniid,0.5,fedavg,0
dcgan64_iid__fedcafe__seed0,dcgan64,gan,iid,,fedcafe,0
dcgan64_noniid_heavy__fedprox__seed2,dcgan64,gan,noniid,0.2,fedprox,2
dcgan64_noniid_heavy__fedcafe__seed1,dcgan64,gan,noniid,0.2,fedcafe,1
dcgan64_noniid_light__fedprox__seed1,dcgan64,gan,noniid,0.5,fedprox,1
dcgan64_iid__fedcafe__seed1,dcgan64,gan,iid,,fedcafe,1
dcgan64_iid__fedcafe__seed2,dcgan64,gan,iid,,fedcafe,2
ddpm64_noniid_light__fedcafe__seed1,ddpm64,diffusion,noniid,0.5,fedcafe,1
dcgan64_iid__fedavg__seed2,dcgan64,gan,iid,,fedavg,2
ddpm64_noniid_light__fedprox__seed2,ddpm64,diffusion,noniid,0.5,fedprox,2
ddpm64_noniid_heavy__fedprox__seed1,ddpm64,diffusion,noniid,0.2,fedprox,1
dcgan64_noniid_light__fedavg__seed1,dcgan64,gan,noniid,0.5,fedavg,1
dcgan64_iid__fedprox__seed1,dcgan64,gan,iid,,fedprox,1
ddpm64_iid__fedavg__seed0,ddpm64,diffusion,iid,,fedavg,0
ddpm64_iid__fedcafe__seed1,ddpm64,diffusion,iid,,fedcafe,1
dcgan64_iid__fedprox__seed0,dcgan64,gan,iid,,fedprox,0
dcgan64_noniid_light__fedavg__seed2,dcgan64,gan,noniid,0.5,fedavg,2
dcgan64_noniid_heavy__fedavg__seed2,dcgan64,gan,noniid,0.2,fedavg,2
ddpm64_noniid_light__fedprox__seed1,ddpm64,diffusion,noniid,0.5,fedprox,1
ddpm64_noniid_light__fedavg__seed2,ddpm64,diffusion,noniid,0.5,fedavg,2
ddpm64_noniid_light__fedcafe__seed2,ddpm64,diffusion,noniid,0.5,fedcafe,2
dcgan64_noniid_light__fedprox__seed0,dcgan64,gan,noniid,0.5,fedprox,0
dcgan64_iid__fedprox__seed2,dcgan64,gan,iid,,fedprox,2
dcgan64_noniid_light__fedprox__seed2,dcgan64,gan,noniid,0.5,fedprox,2
ddpm64_noniid_heavy__fedavg__seed0,ddpm64,diffusion,noniid,0.2,fedavg,0
dcgan64_noniid_light__fedcafe__seed1,dcgan64,gan,noniid,0.5,fedcafe,1
dcgan64_noniid_light__fedavg__seed0,dcgan64,gan,noniid,0.5,fedavg,0
ddpm64_noniid_heavy__fedavg__seed2,ddpm64,diffusion,noniid,0.2,fedavg,2
dcgan64_noniid_light__fedcafe__seed2,dcgan64,gan,noniid,0.5,fedcafe,2
dcgan64_iid__fedavg__seed1,dcgan64,gan,iid,,fedavg,1
ddpm64_iid__fedprox__seed1,ddpm64,diffusion,iid,,fedprox,1
ddpm64_noniid_light__fedprox__seed0,ddpm64,diffusion,noniid,0.5,fedprox,0
ddpm64_noniid_light__fedavg__seed1,ddpm64,diffusion,noniid,0.5,fedavg,1
